"date","new_cases","mm7_casos"
"2020-01-22","0","0.00"
"2020-01-23","0","0.00"
"2020-01-24","0","0.00"
"2020-01-25","0","0.00"
"2020-01-26","0","0.00"
"2020-01-27","0","0.00"
"2020-01-28","0","0.00"
"2020-01-29","0","0.00"
"2020-01-30","0","0.00"
"2020-01-31","0","0.00"
"2020-02-01","0","0.00"
"2020-02-02","0","0.00"
"2020-02-03","0","0.00"
"2020-02-04","0","0.00"
"2020-02-05","0","0.00"
"2020-02-06","0","0.00"
"2020-02-07","0","0.00"
"2020-02-08","0","0.00"
"2020-02-09","0","0.00"
"2020-02-10","0","0.00"
"2020-02-11","0","0.00"
"2020-02-12","0","0.00"
"2020-02-13","0","0.00"
"2020-02-14","0","0.00"
"2020-02-15","0","0.00"
"2020-02-16","0","0.00"
"2020-02-17","0","0.00"
"2020-02-18","0","0.00"
"2020-02-19","0","0.00"
"2020-02-20","0","0.00"
"2020-02-21","0","0.00"
"2020-02-22","0","0.00"
"2020-02-23","0","0.00"
"2020-02-24","0","0.00"
"2020-02-25","0","0.00"
"2020-02-26","1","0.14"
"2020-02-27","0","0.14"
"2020-02-28","0","0.14"
"2020-02-29","1","0.29"
"2020-03-01","0","0.29"
"2020-03-02","0","0.29"
"2020-03-03","0","0.29"
"2020-03-04","2","0.43"
"2020-03-05","0","0.43"
"2020-03-06","9","1.71"
"2020-03-07","0","1.57"
"2020-03-08","7","2.57"
"2020-03-09","5","3.29"
"2020-03-10","6","4.14"
"2020-03-11","7","4.86"
"2020-03-12","14","6.86"
"2020-03-13","99","19.71"
"2020-03-14","0","19.71"
"2020-03-15","11","20.29"
"2020-03-16","38","25.00"
"2020-03-17","121","41.43"
"2020-03-18","51","47.71"
"2020-03-19","249","81.29"
"2020-03-20","172","91.71"
"2020-03-21","228","124.29"
"2020-03-22","525","197.71"
"2020-03-23","378","246.29"
"2020-03-24","323","275.14"
"2020-03-25","307","311.71"
"2020-03-26","431","337.71"
"2020-03-27","432","374.86"
"2020-03-28","487","411.86"
"2020-03-29","352","387.14"
"2020-03-30","323","379.29"
"2020-03-31","1138","495.71"
"2020-04-01","1119","611.71"
"2020-04-02","1208","722.71"
"2020-04-03","1012","805.57"
