"country_region","continent","population","confirmed","casos_por_milhao"
"Qatar","Asia","2807805","109597","39032.98"
"Bahrain","Asia","1706669","39482","23133.95"
"San Marino","Europe","33938","699","20596.38"
"Chile","South America","19132514","347923","18184.91"
"Oman","Asia","5118446","77058","15054.96"
"Kuwait","Asia","4276658","64379","15053.58"
"Panama","North America","4321282","61442","14218.47"
"Armenia","Asia","2963811","37390","12615.51"
"Peru","South America","33016319","389717","11803.77"
"Andorra","Europe","77278","907","11736.85"
"Brazil","South America","212710692","2442375","11482.14"
"Luxembourg","Europe","626952","6321","10082.11"
"Singapore","Asia","5854932","50838","8682.94"
"Sweden","Europe","10105596","79395","7856.54"
"Saudi Arabia","Asia","34865919","268934","7713.38"
"South Africa","Africa","59381566","452529","7620.70"
"Belarus","Europe","9449001","67251","7117.26"
"Israel","Asia","9197590","63985","6956.71"
"Maldives","Asia","541448","3369","6222.20"
"Bolivia","South America","11688459","71181","6089.85"
"Dominican Republic","North America","10858648","64156","5908.29"
"Spain","Europe","46756648","272421","5826.36"
"Moldova","Europe","4032983","23154","5741.16"
"Belgium","Europe","11594739","66428","5729.15"
"Russia","Europe","145940924","816680","5595.96"
"Iceland","Europe","341465","1854","5429.55"
"Ireland","Europe","4943200","25892","5237.90"
"Djibouti","Africa","989387","5059","5113.27"
"Kyrgyzstan","Asia","6534479","33296","5095.43"
"Colombia","South America","50936262","257101","5047.50"
"Portugal","Europe","10193593","50299","4934.37"
"North Macedonia","Europe","2083365","10213","4902.17"
"Montenegro","Europe","628074","2893","4606.15"
"Ecuador","South America","17668824","81161","4593.46"
"Kazakhstan","Asia","18798667","84648","4502.87"
"Cabo Verde","Africa","556581","2328","4182.68"
"Italy","Europe","60452568","246286","4074.04"
"Honduras","North America","9919704","39741","4006.27"
"Switzerland","Europe","8660952","34477","3980.74"
"Sao Tome and Principe","Africa","219544","865","3939.98"
"Argentina","South America","45236884","167416","3700.87"
"Iran","Asia","84097623","293606","3491.25"
"France","Europe","65288306","220352","3375.06"
"Gabon","Africa","2230563","7189","3222.95"
"Bosnia and Herzegovina","Europe","3278650","10498","3201.93"
"Netherlands","Europe","17138756","53413","3116.50"
"Costa Rica","North America","5098730","15841","3106.85"
"Canada","North America","37775022","116458","3082.94"
"Mexico","North America","129066160","395489","3064.23"
"Azerbaijan","Asia","10148243","30446","3000.13"
"Monaco","Europe","39270","116","2953.91"
"Iraq","Asia","40306025","112585","2793.25"
"Serbia","Europe","8733665","24141","2764.13"
"Turkey","Asia","84428331","227019","2688.90"
"Suriname","South America","587154","1483","2525.74"
"Guatemala","North America","17946899","45309","2524.61"
"Germany","Europe","83811260","207112","2471.17"
"Romania","Europe","19224023","45902","2387.74"
"Denmark","Europe","5794279","13761","2374.93"
"El Salvador","North America","6489514","15035","2316.81"
"Austria","Europe","9011577","20558","2281.29"
"Liechtenstein","Europe","38139","86","2254.91"
"Equatorial Guinea","Africa","1407001","3071","2182.66"
"Eswatini","Africa","1161348","2316","1994.23"
"Albania","Europe","2877470","4880","1695.93"
"Norway","Europe","5425471","9132","1683.17"
"Malta","Europe","441663","701","1587.18"
"Ukraine","Europe","43705858","67096","1535.17"
"Estonia","Europe","1326627","2034","1533.21"
"Bulgaria","Europe","6942854","10621","1529.77"
"Czechia","Europe","10711019","15516","1448.60"
"Bangladesh","Asia","164851401","226225","1372.30"
"Finland","Europe","5541604","7398","1334.99"
