"country_region","continent","population","deaths","mortes_por_milhao"
"San Marino","Europe","33938","42","1237.55"
"Belgium","Europe","11594739","9822","847.11"
"Andorra","Europe","77278","52","672.90"
"Spain","Europe","46756648","28432","608.08"
"Italy","Europe","60452568","35112","580.82"
"Sweden","Europe","10105596","5700","564.04"
"Peru","South America","33016319","18418","557.85"
"Chile","South America","19132514","9187","480.18"
"France","Europe","65288306","30212","462.75"
"Brazil","South America","212710692","87618","411.91"
"Netherlands","Europe","17138756","6160","359.42"
"Ireland","Europe","4943200","1764","356.85"
"Mexico","North America","129066160","44022","341.08"
"Ecuador","South America","17668824","5532","313.09"
"Panama","North America","4321282","1322","305.93"
"Armenia","Asia","2963811","711","239.89"
"Canada","North America","37775022","8944","236.77"
"Switzerland","Europe","8660952","1978","228.38"
"Bolivia","South America","11688459","2647","226.46"
"North Macedonia","Europe","2083365","466","223.68"
"Kyrgyzstan","Asia","6534479","1301","199.10"
"Iran","Asia","84097623","15912","189.21"
"Moldova","Europe","4032983","748","185.47"
"Luxembourg","Europe","626952","112","178.64"
"Colombia","South America","50936262","8777","172.31"
"Portugal","Europe","10193593","1719","168.64"
"South Africa","Africa","59381566","7067","119.01"
"Honduras","North America","9919704","1166","117.54"
"Romania","Europe","19224023","2206","114.75"
"Iraq","Asia","40306025","4458","110.60"
"Germany","Europe","83811260","9125","108.88"
"Denmark","Europe","5794279","613","105.79"
"Kuwait","Asia","4276658","438","102.42"
"Monaco","Europe","39270","4","101.86"
"Dominican Republic","North America","10858648","1083","99.74"
"Guatemala","North America","17946899","1761","98.12"
"Russia","Europe","145940924","13334","91.37"
"Bosnia and Herzegovina","Europe","3278650","294","89.67"
"Bahrain","Asia","1706669","141","82.62"
"Saudi Arabia","Asia","34865919","2760","79.16"
"Austria","Europe","9011577","713","79.12"
"Oman","Asia","5118446","393","76.78"
"Montenegro","Europe","628074","45","71.65"
"Argentina","South America","45236884","3059","67.62"
"Turkey","Asia","84428331","5630","66.68"
"Sao Tome and Principe","Africa","219544","14","63.77"
"El Salvador","North America","6489514","408","62.87"
"Serbia","Europe","8733665","543","62.17"
"Hungary","Europe","9657785","596","61.71"
"Finland","Europe","5541604","329","59.37"
"Qatar","Asia","2807805","165","58.76"
"Djibouti","Africa","989387","58","58.62"
"Belarus","Europe","9449001","538","56.94"
"Slovenia","Europe","2078968","116","55.80"
