"date","country_region","casos_por_milhao"
"2020-01-22","Argentina","0.00"
"2020-01-22","Brazil","0.00"
"2020-01-22","India","0.00"
"2020-01-22","Italy","0.00"
"2020-01-23","Argentina","0.00"
"2020-01-23","Brazil","0.00"
"2020-01-23","India","0.00"
"2020-01-23","Italy","0.00"
"2020-01-24","Argentina","0.00"
"2020-01-24","Brazil","0.00"
"2020-01-24","India","0.00"
"2020-01-24","Italy","0.00"
"2020-01-25","Argentina","0.00"
"2020-01-25","Brazil","0.00"
"2020-01-25","India","0.00"
"2020-01-25","Italy","0.00"
"2020-01-26","Argentina","0.00"
"2020-01-26","Brazil","0.00"
"2020-01-26","India","0.00"
"2020-01-26","Italy","0.00"
"2020-01-27","Argentina","0.00"
"2020-01-27","Brazil","0.00"
"2020-01-27","India","0.00"
"2020-01-27","Italy","0.00"
"2020-01-28","Argentina","0.00"
"2020-01-28","Brazil","0.00"
"2020-01-28","India","0.00"
"2020-01-28","Italy","0.00"
"2020-01-29","Argentina","0.00"
"2020-01-29","Brazil","0.00"
"2020-01-29","India","0.00"
"2020-01-29","Italy","0.00"
"2020-01-30","Argentina","0.00"
"2020-01-30","Brazil","0.00"
"2020-01-30","India","0.00"
"2020-01-30","Italy","0.00"
"2020-01-31","Argentina","0.00"
"2020-01-31","Brazil","0.00"
"2020-01-31","India","0.00"
"2020-01-31","Italy","0.03"
"2020-02-01","Argentina","0.00"
"2020-02-01","Brazil","0.00"
"2020-02-01","India","0.00"
"2020-02-01","Italy","0.03"
"2020-02-02","Argentina","0.00"
"2020-02-02","Brazil","0.00"
"2020-02-02","India","0.00"
"2020-02-02","Italy","0.03"
"2020-02-03","Argentina","0.00"
"2020-02-03","Brazil","0.00"
"2020-02-03","India","0.00"
"2020-02-03","Italy","0.03"
"2020-02-04","Argentina","0.00"
"2020-02-04","Brazil","0.00"
"2020-02-04","India","0.00"
"2020-02-04","Italy","0.03"
"2020-02-05","Argentina","0.00"
"2020-02-05","Brazil","0.00"
"2020-02-05","India","0.00"
"2020-02-05","Italy","0.03"
"2020-02-06","Argentina","0.00"
"2020-02-06","Brazil","0.00"
"2020-02-06","India","0.00"
"2020-02-06","Italy","0.03"
"2020-02-07","Argentina","0.00"
"2020-02-07","Brazil","0.00"
"2020-02-07","India","0.00"
"2020-02-07","Italy","0.05"
"2020-02-08","Argentina","0.00"
"2020-02-08","Brazil","0.00"
"2020-02-08","India","0.00"
"2020-02-08","Italy","0.05"
"2020-02-09","Argentina","0.00"
"2020-02-09","Brazil","0.00"
"2020-02-09","India","0.00"
"2020-02-09","Italy","0.05"
"2020-02-10","Argentina","0.00"
"2020-02-10","Brazil","0.00"
"2020-02-10","India","0.00"
"2020-02-10","Italy","0.05"
"2020-02-11","Argentina","0.00"
"2020-02-11","Brazil","0.00"
"2020-02-11","India","0.00"
"2020-02-11","Italy","0.05"
"2020-02-12","Argentina","0.00"
"2020-02-12","Brazil","0.00"
"2020-02-12","India","0.00"
"2020-02-12","Italy","0.05"
"2020-02-13","Argentina","0.00"
"2020-02-13","Brazil","0.00"
"2020-02-13","India","0.00"
"2020-02-13","Italy","0.05"
"2020-02-14","Argentina","0.00"
"2020-02-14","Brazil","0.00"
"2020-02-14","India","0.00"
"2020-02-14","Italy","0.05"
"2020-02-15","Argentina","0.00"
"2020-02-15","Brazil","0.00"
"2020-02-15","India","0.00"
"2020-02-15","Italy","0.05"
"2020-02-16","Argentina","0.00"
"2020-02-16","Brazil","0.00"
"2020-02-16","India","0.00"
"2020-02-16","Italy","0.05"
"2020-02-17","Argentina","0.00"
"2020-02-17","Brazil","0.00"
"2020-02-17","India","0.00"
"2020-02-17","Italy","0.05"
"2020-02-18","Argentina","0.00"
"2020-02-18","Brazil","0.00"
"2020-02-18","India","0.00"
"2020-02-18","Italy","0.05"
"2020-02-19","Argentina","0.00"
"2020-02-19","Brazil","0.00"
"2020-02-19","India","0.00"
"2020-02-19","Italy","0.05"
"2020-02-20","Argentina","0.00"
"2020-02-20","Brazil","0.00"
"2020-02-20","India","0.00"
"2020-02-20","Italy","0.05"
"2020-02-21","Argentina","0.00"
"2020-02-21","Brazil","0.00"
"2020-02-21","India","0.00"
"2020-02-21","Italy","0.33"
"2020-02-22","Argentina","0.00"
"2020-02-22","Brazil","0.00"
"2020-02-22","India","0.00"
"2020-02-22","Italy","1.03"
"2020-02-23","Argentina","0.00"
"2020-02-23","Brazil","0.00"
"2020-02-23","India","0.00"
"2020-02-23","Italy","2.56"
"2020-02-24","Argentina","0.00"
"2020-02-24","Brazil","0.00"
"2020-02-24","India","0.00"
"2020-02-24","Italy","3.79"
"2020-02-25","Argentina","0.00"
"2020-02-25","Brazil","0.00"
"2020-02-25","India","0.00"
"2020-02-25","Italy","5.33"
"2020-02-26","Argentina","0.00"
"2020-02-26","Brazil","0.00"
"2020-02-26","India","0.00"
"2020-02-26","Italy","7.49"
"2020-02-27","Argentina","0.00"
"2020-02-27","Brazil","0.00"
"2020-02-27","India","0.00"
"2020-02-27","Italy","10.83"
"2020-02-28","Argentina","0.00"
"2020-02-28","Brazil","0.00"
"2020-02-28","India","0.00"
"2020-02-28","Italy","14.69"
"2020-02-29","Argentina","0.00"
"2020-02-29","Brazil","0.01"
"2020-02-29","India","0.00"
"2020-02-29","Italy","18.66"
"2020-03-01","Argentina","0.00"
"2020-03-01","Brazil","0.01"
"2020-03-01","India","0.00"
"2020-03-01","Italy","28.02"
"2020-03-02","Argentina","0.00"
"2020-03-02","Brazil","0.01"
"2020-03-02","India","0.00"
"2020-03-02","Italy","33.68"
"2020-03-03","Argentina","0.02"
"2020-03-03","Brazil","0.01"
"2020-03-03","India","0.00"
"2020-03-03","Italy","41.39"
"2020-03-04","Argentina","0.02"
"2020-03-04","Brazil","0.02"
"2020-03-04","India","0.02"
"2020-03-04","Italy","51.10"
"2020-03-05","Argentina","0.02"
"2020-03-05","Brazil","0.02"
"2020-03-05","India","0.02"
"2020-03-05","Italy","63.82"
"2020-03-06","Argentina","0.04"
"2020-03-06","Brazil","0.06"
"2020-03-06","India","0.02"
"2020-03-06","Italy","76.69"
"2020-03-07","Argentina","0.18"
"2020-03-07","Brazil","0.06"
"2020-03-07","India","0.02"
"2020-03-07","Italy","97.32"
"2020-03-08","Argentina","0.27"
"2020-03-08","Brazil","0.09"
"2020-03-08","India","0.03"
"2020-03-08","Italy","122.00"
"2020-03-09","Argentina","0.27"
"2020-03-09","Brazil","0.12"
"2020-03-09","India","0.03"
"2020-03-09","Italy","151.72"
"2020-03-10","Argentina","0.38"
"2020-03-10","Brazil","0.15"
"2020-03-10","India","0.04"
"2020-03-10","Italy","167.88"
"2020-03-11","Argentina","0.42"
"2020-03-11","Brazil","0.18"
"2020-03-11","India","0.04"
"2020-03-11","Italy","206.15"
"2020-03-12","Argentina","0.42"
"2020-03-12","Brazil","0.24"
"2020-03-12","India","0.05"
"2020-03-12","Italy","250.00"
"2020-03-13","Argentina","0.69"
"2020-03-13","Brazil","0.71"
"2020-03-13","India","0.06"
"2020-03-13","Italy","292.13"
"2020-03-14","Argentina","0.75"
"2020-03-14","Brazil","0.71"
"2020-03-14","India","0.07"
"2020-03-14","Italy","349.98"
"2020-03-15","Argentina","0.99"
"2020-03-15","Brazil","0.76"
"2020-03-15","India","0.08"
"2020-03-15","Italy","409.36"
"2020-03-16","Argentina","1.24"
"2020-03-16","Brazil","0.94"
"2020-03-16","India","0.09"
"2020-03-16","Italy","462.84"
"2020-03-17","Argentina","1.50"
"2020-03-17","Brazil","1.51"
"2020-03-17","India","0.10"
"2020-03-17","Italy","521.17"
"2020-03-18","Argentina","1.75"
"2020-03-18","Brazil","1.75"
"2020-03-18","India","0.11"
"2020-03-18","Italy","590.76"
"2020-03-19","Argentina","2.14"
"2020-03-19","Brazil","2.92"
"2020-03-19","India","0.14"
"2020-03-19","Italy","678.80"
"2020-03-20","Argentina","2.83"
"2020-03-20","Brazil","3.73"
"2020-03-20","India","0.18"
"2020-03-20","Italy","777.82"
"2020-03-21","Argentina","3.49"
"2020-03-21","Brazil","4.80"
"2020-03-21","India","0.24"
"2020-03-21","Italy","886.28"
"2020-03-22","Argentina","5.88"
"2020-03-22","Brazil","7.27"
"2020-03-22","India","0.29"
"2020-03-22","Italy","978.25"
"2020-03-23","Argentina","6.65"
"2020-03-23","Brazil","9.05"
"2020-03-23","India","0.36"
"2020-03-23","Italy","1057.47"
"2020-03-24","Argentina","8.55"
"2020-03-24","Brazil","10.56"
"2020-03-24","India","0.39"
"2020-03-24","Italy","1144.30"
"2020-03-25","Argentina","8.55"
"2020-03-25","Brazil","12.01"
"2020-03-25","India","0.48"
"2020-03-25","Italy","1230.49"
"2020-03-26","Argentina","11.10"
"2020-03-26","Brazil","14.03"
"2020-03-26","India","0.53"
"2020-03-26","Italy","1333.09"
"2020-03-27","Argentina","13.02"
"2020-03-27","Brazil","16.06"
"2020-03-27","India","0.64"
"2020-03-27","Italy","1430.84"
"2020-03-28","Argentina","15.25"
"2020-03-28","Brazil","18.35"
"2020-03-28","India","0.71"
"2020-03-28","Italy","1529.66"
"2020-03-29","Argentina","16.47"
"2020-03-29","Brazil","20.01"
"2020-03-29","India","0.74"
"2020-03-29","Italy","1615.96"
"2020-03-30","Argentina","18.13"
"2020-03-30","Brazil","21.53"
"2020-03-30","India","0.91"
"2020-03-30","Italy","1682.96"
"2020-03-31","Argentina","23.30"
"2020-03-31","Brazil","26.88"
"2020-03-31","India","1.01"
"2020-03-31","Italy","1750.00"
"2020-04-01","Argentina","23.30"
"2020-04-01","Brazil","32.14"
"2020-04-01","India","1.45"
"2020-04-01","Italy","1829.10"
"2020-04-02","Argentina","25.05"
"2020-04-02","Brazil","37.82"
"2020-04-02","India","1.84"
"2020-04-02","Italy","1906.32"
"2020-04-03","Argentina","27.96"
"2020-04-03","Brazil","42.57"
"2020-04-03","India","1.86"
"2020-04-03","Italy","1982.17"
"2020-04-04","Argentina","32.08"
"2020-04-04","Brazil","48.70"
"2020-04-04","India","2.23"
"2020-04-04","Italy","2061.65"
"2020-04-05","Argentina","32.08"
"2020-04-05","Brazil","52.32"
"2020-04-05","India","2.60"
"2020-04-05","Italy","2133.04"
"2020-04-06","Argentina","34.35"
"2020-04-06","Brazil","57.17"
"2020-04-06","India","3.46"
"2020-04-06","Italy","2192.58"
"2020-04-07","Argentina","35.99"
"2020-04-07","Brazil","65.98"
"2020-04-07","India","3.84"
"2020-04-07","Italy","2242.85"
