"country_region","casos_anteriores","casos_finais","variacao_pct"
"Dominica","2","0","-100.00"
"Western Sahara","1","0","-100.00"
"San Marino","28","1","-96.43"
"Djibouti","1729","416","-75.94"
"Belarus","21237","6156","-71.01"
"Malaysia","987","288","-70.82"
"Somalia","1050","318","-69.71"
"Afghanistan","17580","5647","-67.88"
"Haiti","4457","1563","-64.93"
"Estonia","135","48","-64.44"
"Qatar","42749","15934","-62.73"
"South Sudan","948","363","-61.71"
"Chad","139","57","-58.99"
"Mali","924","395","-57.25"
"Mauritius","7","3","-57.14"
"Central African Republic","2674","1170","-56.25"
"Sudan","4911","2167","-55.87"
"Comoros","185","82","-55.68"
"Jordan","383","175","-54.31"
"Finland","455","208","-54.29"
"Chile","165929","80157","-51.69"
"Sweden","29410","14258","-51.52"
"Eritrea","152","74","-51.32"
"Pakistan","138927","71334","-48.65"
"Uganda","531","280","-47.27"
"Congo (Kinshasa)","4030","2154","-46.55"
"Bhutan","44","24","-45.45"
"Antigua and Barbuda","40","22","-45.00"
"Andorra","92","52","-43.48"
"Nepal","11267","6443","-42.82"
"Malta","54","31","-42.59"
"Cuba","347","202","-41.79"
"Mauritania","3679","2183","-40.66"
"Sao Tome and Principe","255","152","-40.39"
"United Kingdom","29931","17923","-40.12"
"Burma","90","54","-40.00"
"Sierra Leone","598","373","-37.63"
"Cameroon","7156","4518","-36.86"
"Tajikistan","2236","1436","-35.78"
"Norway","435","286","-34.25"
"Egypt","43130","28559","-33.78"
"Niger","107","74","-30.84"
"Benin","914","646","-29.32"
"Yemen","825","588","-28.73"
"Gabon","2778","1980","-28.73"
"Italy","8552","6150","-28.09"
"Singapore","9997","7592","-24.06"
"Netherlands","4129","3138","-24.00"
"Ireland","596","455","-23.66"
"Russia","247728","189901","-23.34"
"Denmark","1163","899","-22.70"
"Canada","14903","11593","-22.21"
"United Arab Emirates","14828","11817","-20.31"
"Guinea-Bissau","419","340","-18.85"
"Moldova","8355","7074","-15.33"
"Peru","134210","113728","-15.26"
"Armenia","15693","13481","-14.10"
"Poland","10889","9688","-11.03"
"Turkey","34904","31136","-10.80"
"Nicaragua","1411","1269","-10.06"
"Saudi Arabia","98319","90430","-8.02"
"Bahrain","15215","14215","-6.57"
"Portugal","9593","9110","-5.03"
"Liberia","460","438","-4.78"
"Iran","76331","73426","-3.81"
