"country_region","population","confirmed","deaths","casos_por_milhao","mortes_por_milhao","taxa_letalidade_pct"
"Qatar","2807805","109597","165","39032.98","58.76","0.15"
"Bahrain","1706669","39482","141","23133.95","82.62","0.36"
"San Marino","33938","699","42","20596.38","1237.55","6.01"
"Chile","19132514","347923","9187","18184.91","480.18","2.64"
"Oman","5118446","77058","393","15054.96","76.78","0.51"
"Kuwait","4276658","64379","438","15053.58","102.42","0.68"
"Panama","4321282","61442","1322","14218.47","305.93","2.15"
"Armenia","2963811","37390","711","12615.51","239.89","1.90"
"Peru","33016319","389717","18418","11803.77","557.85","4.73"
"Andorra","77278","907","52","11736.85","672.90","5.73"
"Brazil","212710692","2442375","87618","11482.14","411.91","3.59"
"Luxembourg","626952","6321","112","10082.11","178.64","1.77"
"Singapore","5854932","50838","27","8682.94","4.61","0.05"
"Sweden","10105596","79395","5700","7856.54","564.04","7.18"
"Saudi Arabia","34865919","268934","2760","7713.38","79.16","1.03"
"South Africa","59381566","452529","7067","7620.70","119.01","1.56"
"Belarus","9449001","67251","538","7117.26","56.94","0.80"
"Israel","9197590","63985","474","6956.71","51.54","0.74"
"Maldives","541448","3369","15","6222.20","27.70","0.45"
"Bolivia","11688459","71181","2647","6089.85","226.46","3.72"
"Dominican Republic","10858648","64156","1083","5908.29","99.74","1.69"
"Spain","46756648","272421","28432","5826.36","608.08","10.44"
"Moldova","4032983","23154","748","5741.16","185.47","3.23"
"Belgium","11594739","66428","9822","5729.15","847.11","14.79"
"Russia","145940924","816680","13334","5595.96","91.37","1.63"
"Iceland","341465","1854","10","5429.55","29.29","0.54"
"Ireland","4943200","25892","1764","5237.90","356.85","6.81"
"Djibouti","989387","5059","58","5113.27","58.62","1.15"
"Kyrgyzstan","6534479","33296","1301","5095.43","199.10","3.91"
"Colombia","50936262","257101","8777","5047.50","172.31","3.41"
"Portugal","10193593","50299","1719","4934.37","168.64","3.42"
"North Macedonia","2083365","10213","466","4902.17","223.68","4.56"
"Montenegro","628074","2893","45","4606.15","71.65","1.56"
"Ecuador","17668824","81161","5532","4593.46","313.09","6.82"
"Kazakhstan","18798667","84648","585","4502.87","31.12","0.69"
"Cabo Verde","556581","2328","22","4182.68","39.53","0.95"
"Italy","60452568","246286","35112","4074.04","580.82","14.26"
"Honduras","9919704","39741","1166","4006.27","117.54","2.93"
"Switzerland","8660952","34477","1978","3980.74","228.38","5.74"
"Sao Tome and Principe","219544","865","14","3939.98","63.77","1.62"
"Argentina","45236884","167416","3059","3700.87","67.62","1.83"
"Iran","84097623","293606","15912","3491.25","189.21","5.42"
"France","65288306","220352","30212","3375.06","462.75","13.71"
"Gabon","2230563","7189","49","3222.95","21.97","0.68"
"Bosnia and Herzegovina","3278650","10498","294","3201.93","89.67","2.80"
"Netherlands","17138756","53413","6160","3116.50","359.42","11.53"
"Costa Rica","5098730","15841","115","3106.85","22.55","0.73"
"Canada","37775022","116458","8944","3082.94","236.77","7.68"
"Mexico","129066160","395489","44022","3064.23","341.08","11.13"
"Azerbaijan","10148243","30446","423","3000.13","41.68","1.39"
"Monaco","39270","116","4","2953.91","101.86","3.45"
"Iraq","40306025","112585","4458","2793.25","110.60","3.96"
"Serbia","8733665","24141","543","2764.13","62.17","2.25"
"Turkey","84428331","227019","5630","2688.90","66.68","2.48"
"Suriname","587154","1483","24","2525.74","40.88","1.62"
"Guatemala","17946899","45309","1761","2524.61","98.12","3.89"
"Germany","83811260","207112","9125","2471.17","108.88","4.41"
"Romania","19224023","45902","2206","2387.74","114.75","4.81"
"Denmark","5794279","13761","613","2374.93","105.79","4.45"
"El Salvador","6489514","15035","408","2316.81","62.87","2.71"
"Austria","9011577","20558","713","2281.29","79.12","3.47"
"Liechtenstein","38139","86","1","2254.91","26.22","1.16"
"Equatorial Guinea","1407001","3071","51","2182.66","36.25","1.66"
"Eswatini","1161348","2316","34","1994.23","29.28","1.47"
"Albania","2877470","4880","144","1695.93","50.04","2.95"
"Norway","5425471","9132","255","1683.17","47.00","2.79"
"Malta","441663","701","9","1587.18","20.38","1.28"
"Ukraine","43705858","67096","1636","1535.17","37.43","2.44"
"Estonia","1326627","2034","69","1533.21","52.01","3.39"
"Bulgaria","6942854","10621","347","1529.77","49.98","3.27"
"Czechia","10711019","15516","373","1448.60","34.82","2.40"
"Bangladesh","164851401","226225","2965","1372.30","17.99","1.31"
"Finland","5541604","7398","329","1334.99","59.37","4.45"
"Mauritania","4660728","6208","156","1331.98","33.47","2.51"
"Pakistan","221295851","274289","5842","1239.47","26.40","2.13"
"Croatia","4102577","4881","139","1189.74","33.88","2.85"
"Seychelles","98408","114","0","1158.44","0.00","0.00"
"Poland","37842302","43402","1676","1146.92","44.29","3.86"
"Ghana","31133483","33624","168","1079.99","5.40","0.50"
"India","1381344997","1480073","33408","1071.47","24.19","2.26"
"Slovenia","2078968","2087","116","1003.86","55.80","5.56"
"Guinea-Bissau","1972277","1954","26","990.73","13.18","1.33"
"Bahamas","393616","382","11","970.49","27.95","2.88"
"Afghanistan","39009447","36263","1269","929.60","32.53","3.50"
"Egypt","102516525","92482","4652","902.12","45.38","5.03"
"Antigua and Barbuda","98010","86","3","877.46","30.61","3.49"
"Cyprus","1208238","1060","19","877.31","15.73","1.79"
"Tajikistan","9557468","7235","60","757.00","6.28","0.83"
"Philippines","109722719","82040","1945","747.70","17.73","2.37"
"Lithuania","2718121","2019","80","742.79","29.43","3.96"
"Namibia","2545264","1843","8","724.09","3.14","0.43"
"Latvia","1883936","1219","31","647.05","16.45","2.54"
"Cameroon","26606188","17110","391","643.08","14.70","2.29"
"Haiti","11416103","7340","158","642.95","13.84","2.15"
"Nepal","29186486","18752","48","642.49","1.64","0.26"
"Paraguay","7141091","4548","43","636.88","6.02","0.95"
"Algeria","43926079","27973","1163","636.82","26.48","4.16"
"Uzbekistan","33516027","21209","121","632.80","3.61","0.57"
"Australia","25528864","15303","167","599.44","6.54","1.09"
"Senegal","16783877","9764","194","581.75","11.56","1.99"
