"country_region","semana","casos_semana","crescimento_pct_wow"
"Afghanistan","2020-01-20","0",NULL
"Afghanistan","2020-01-27","0",NULL
"Afghanistan","2020-02-03","0",NULL
"Afghanistan","2020-02-10","0",NULL
"Afghanistan","2020-02-17","0",NULL
"Afghanistan","2020-02-24","1",NULL
"Afghanistan","2020-03-02","3","200.00"
"Afghanistan","2020-03-09","12","300.00"
"Afghanistan","2020-03-16","24","100.00"
"Afghanistan","2020-03-23","80","233.33"
"Afghanistan","2020-03-30","229","186.25"
"Afghanistan","2020-04-06","258","12.66"
"Afghanistan","2020-04-13","389","50.78"
"Afghanistan","2020-04-20","535","37.53"
"Afghanistan","2020-04-27","1173","119.25"
"Afghanistan","2020-05-04","1698","44.76"
"Afghanistan","2020-05-11","2262","33.22"
"Afghanistan","2020-05-18","3918","73.21"
"Afghanistan","2020-05-25","4623","17.99"
"Afghanistan","2020-06-01","5137","11.12"
"Afghanistan","2020-06-08","4424","-13.88"
"Afghanistan","2020-06-15","4067","-8.07"
"Afghanistan","2020-06-22","2134","-47.53"
"Afghanistan","2020-06-29","1984","-7.03"
"Afghanistan","2020-07-06","1500","-24.40"
"Afghanistan","2020-07-13","1024","-31.73"
"Afghanistan","2020-07-20","682","-33.40"
"Afghanistan","2020-07-27","106","-84.46"
"Albania","2020-01-20","0",NULL
"Albania","2020-01-27","0",NULL
"Albania","2020-02-03","0",NULL
"Albania","2020-02-10","0",NULL
"Albania","2020-02-17","0",NULL
"Albania","2020-02-24","0",NULL
"Albania","2020-03-02","0",NULL
"Albania","2020-03-09","42",NULL
"Albania","2020-03-16","47","11.90"
"Albania","2020-03-23","123","161.70"
"Albania","2020-03-30","149","21.14"
"Albania","2020-04-06","85","-42.95"
"Albania","2020-04-13","116","36.47"
"Albania","2020-04-20","164","41.38"
"Albania","2020-04-27","69","-57.93"
"Albania","2020-05-04","73","5.80"
"Albania","2020-05-11","78","6.85"
"Albania","2020-05-18","52","-33.33"
"Albania","2020-05-25","139","167.31"
"Albania","2020-06-01","109","-21.58"
"Albania","2020-06-08","275","152.29"
"Albania","2020-06-15","441","60.36"
"Albania","2020-06-22","440","-0.23"
"Albania","2020-06-29","491","11.59"
"Albania","2020-07-06","561","14.26"
"Albania","2020-07-13","636","13.37"
"Albania","2020-07-20","673","5.82"
"Albania","2020-07-27","117","-82.62"
"Algeria","2020-01-20","0",NULL
"Algeria","2020-01-27","0",NULL
"Algeria","2020-02-03","0",NULL
"Algeria","2020-02-10","0",NULL
"Algeria","2020-02-17","0",NULL
"Algeria","2020-02-24","1",NULL
"Algeria","2020-03-02","18","1700.00"
"Algeria","2020-03-09","29","61.11"
"Algeria","2020-03-16","153","427.59"
"Algeria","2020-03-23","310","102.61"
"Algeria","2020-03-30","809","160.97"
"Algeria","2020-04-06","594","-26.58"
"Algeria","2020-04-13","715","20.37"
"Algeria","2020-04-20","753","5.31"
"Algeria","2020-04-27","1092","45.02"
"Algeria","2020-05-04","1249","14.38"
"Algeria","2020-05-11","1296","3.76"
"Algeria","2020-05-18","1287","-0.69"
"Algeria","2020-05-25","1088","-15.46"
"Algeria","2020-06-01","760","-30.15"
"Algeria","2020-06-08","765","0.66"
"Algeria","2020-06-15","852","11.37"
"Algeria","2020-06-22","1502","76.29"
"Algeria","2020-06-29","2668","77.63"
