"continent","country_region","casos_por_milhao","posicao"
"Africa","South Africa","7620.70","1"
"Africa","Djibouti","5113.27","2"
"Africa","Cabo Verde","4182.68","3"
"Africa","Sao Tome and Principe","3939.98","4"
"Africa","Gabon","3222.95","5"
"Asia","Qatar","39032.98","1"
"Asia","Bahrain","23133.95","2"
"Asia","Oman","15054.96","3"
"Asia","Kuwait","15053.58","4"
"Asia","Armenia","12615.51","5"
"Australia/Oceania","Australia","599.44","1"
"Australia/Oceania","New Zealand","311.27","2"
"Australia/Oceania","Fiji","30.10","3"
"Australia/Oceania","Papua New Guinea","6.92","4"
"Europe","San Marino","20596.38","1"
"Europe","Andorra","11736.85","2"
"Europe","Luxembourg","10082.11","3"
"Europe","Sweden","7856.54","4"
"Europe","Belarus","7117.26","5"
"North America","Panama","14218.47","1"
"North America","Dominican Republic","5908.29","2"
"North America","Honduras","4006.27","3"
"North America","Costa Rica","3106.85","4"
"North America","Canada","3082.94","5"
"South America","Chile","18184.91","1"
"South America","Peru","11803.77","2"
"South America","Brazil","11482.14","3"
"South America","Bolivia","6089.85","4"
"South America","Colombia","5047.50","5"
