"country_region","dias_ate_pico_pos_100","data_100_confirmados","data_pico_mm7","pico_mm7"
"Barbados",-95,"2020-07-11","2020-04-07","4.14"
"Monaco",-86,"2020-06-21","2020-03-27","4.43"
"Seychelles",-10,"2020-07-10","2020-06-30","10.00"
"Trinidad and Tobago",-8,"2020-04-04","2020-03-27","8.14"
"Cambodia",-6,"2020-03-29","2020-03-23","11.43"
"Comoros",-6,"2020-05-30","2020-05-24","10.86"
"Brunei",-5,"2020-03-24","2020-03-19","9.14"
"Burma",0,"2020-04-19","2020-04-19","10.00"
"Mongolia",2,"2020-05-16","2020-05-18","14.00"
"Eritrea",3,"2020-06-15","2020-06-18","14.43"
"Tanzania",3,"2020-04-17","2020-04-20","29.29"
"Jordan",6,"2020-03-22","2020-03-28","23.00"
"Vietnam",6,"2020-03-22","2020-03-28","11.43"
"Chad",7,"2020-05-02","2020-05-09","29.29"
"Nicaragua",7,"2020-05-19","2020-05-26","72.14"
"Gambia",7,"2020-07-20","2020-07-27","30.57"
"Uruguay",8,"2020-03-20","2020-03-28","24.00"
"Niger",8,"2020-04-03","2020-04-11","49.57"
"Andorra",8,"2020-03-22","2020-03-30","33.86"
"Taiwan*",8,"2020-03-18","2020-03-26","20.57"
"Lesotho",9,"2020-07-09","2020-07-18","25.00"
"Jamaica",11,"2020-04-15","2020-04-26","25.29"
"Luxembourg",11,"2020-03-17","2020-03-28","165.86"
"Guinea-Bissau",11,"2020-04-29","2020-05-10","67.00"
"Mauritius",12,"2020-03-28","2020-04-09","20.71"
"Latvia",12,"2020-03-20","2020-04-01","32.14"
"Cyprus",12,"2020-03-23","2020-04-04","35.29"
"South Korea",13,"2020-02-20","2020-03-04","622.86"
"Lithuania",13,"2020-03-22","2020-04-04","53.86"
"Tunisia",13,"2020-03-24","2020-04-06","40.57"
"New Zealand",14,"2020-03-22","2020-04-05","75.00"
"Cuba",16,"2020-03-28","2020-04-13","53.71"
"Tajikistan",18,"2020-05-03","2020-05-21","206.14"
