"country_region","date","mm7"
"Argentina","2020-01-22","0.00"
"Argentina","2020-01-23","0.00"
"Argentina","2020-01-24","0.00"
"Argentina","2020-01-25","0.00"
"Argentina","2020-01-26","0.00"
"Argentina","2020-01-27","0.00"
"Argentina","2020-01-28","0.00"
"Argentina","2020-01-29","0.00"
"Argentina","2020-01-30","0.00"
"Argentina","2020-01-31","0.00"
"Argentina","2020-02-01","0.00"
"Argentina","2020-02-02","0.00"
"Argentina","2020-02-03","0.00"
"Argentina","2020-02-04","0.00"
"Argentina","2020-02-05","0.00"
"Argentina","2020-02-06","0.00"
"Argentina","2020-02-07","0.00"
"Argentina","2020-02-08","0.00"
"Argentina","2020-02-09","0.00"
"Argentina","2020-02-10","0.00"
"Argentina","2020-02-11","0.00"
"Argentina","2020-02-12","0.00"
"Argentina","2020-02-13","0.00"
"Argentina","2020-02-14","0.00"
"Argentina","2020-02-15","0.00"
"Argentina","2020-02-16","0.00"
"Argentina","2020-02-17","0.00"
"Argentina","2020-02-18","0.00"
"Argentina","2020-02-19","0.00"
"Argentina","2020-02-20","0.00"
"Argentina","2020-02-21","0.00"
"Argentina","2020-02-22","0.00"
"Argentina","2020-02-23","0.00"
"Argentina","2020-02-24","0.00"
"Argentina","2020-02-25","0.00"
"Argentina","2020-02-26","0.00"
"Argentina","2020-02-27","0.00"
"Argentina","2020-02-28","0.00"
"Argentina","2020-02-29","0.00"
"Argentina","2020-03-01","0.00"
"Argentina","2020-03-02","0.00"
"Argentina","2020-03-03","0.14"
"Argentina","2020-03-04","0.14"
"Argentina","2020-03-05","0.14"
"Argentina","2020-03-06","0.29"
"Argentina","2020-03-07","1.14"
"Argentina","2020-03-08","1.71"
"Argentina","2020-03-09","1.71"
"Argentina","2020-03-10","2.29"
"Argentina","2020-03-11","2.57"
"Argentina","2020-03-12","2.57"
"Argentina","2020-03-13","4.14"
"Argentina","2020-03-14","3.71"
"Argentina","2020-03-15","4.71"
"Argentina","2020-03-16","6.29"
"Argentina","2020-03-17","7.29"
"Argentina","2020-03-18","8.57"
"Argentina","2020-03-19","11.14"
"Argentina","2020-03-20","13.86"
"Argentina","2020-03-21","17.71"
"Argentina","2020-03-22","31.57"
"Argentina","2020-03-23","35.00"
"Argentina","2020-03-24","45.57"
"Argentina","2020-03-25","44.00"
"Argentina","2020-03-26","57.86"
"Argentina","2020-03-27","65.86"
"Argentina","2020-03-28","76.00"
"Argentina","2020-03-29","68.43"
"Argentina","2020-03-30","74.14"
"Argentina","2020-03-31","95.29"
"Argentina","2020-04-01","95.29"
"Argentina","2020-04-02","90.14"
"Argentina","2020-04-03","96.57"
"Argentina","2020-04-04","108.71"
"Argentina","2020-04-05","100.86"
"Argentina","2020-04-06","104.86"
"Argentina","2020-04-07","82.00"
"Argentina","2020-04-08","94.43"
"Argentina","2020-04-09","94.57"
"Argentina","2020-04-10","101.43"
"Argentina","2020-04-11","74.86"
"Argentina","2020-04-12","98.71"
"Argentina","2020-04-13","93.43"
"Argentina","2020-04-14","92.71"
"Argentina","2020-04-15","104.00"
"Argentina","2020-04-16","110.86"
"Argentina","2020-04-17","99.14"
"Argentina","2020-04-18","111.86"
"Argentina","2020-04-19","99.57"
"Argentina","2020-04-20","104.71"
"Argentina","2020-04-21","107.71"
"Argentina","2020-04-22","100.14"
"Argentina","2020-04-23","123.43"
"Argentina","2020-04-24","134.00"
"Argentina","2020-04-25","146.00"
"Argentina","2020-04-26","150.43"
"Argentina","2020-04-27","151.71"
"Argentina","2020-04-28","156.57"
"Argentina","2020-04-29","163.00"
"Argentina","2020-04-30","141.86"
"Argentina","2020-05-01","132.14"
"Argentina","2020-05-02","128.71"
"Argentina","2020-05-03","127.29"
"Argentina","2020-05-04","126.29"
"Argentina","2020-05-05","127.57"
"Argentina","2020-05-06","131.86"
"Argentina","2020-05-07","134.71"
"Argentina","2020-05-08","154.14"
"Argentina","2020-05-09","156.43"
"Argentina","2020-05-10","178.71"
"Argentina","2020-05-11","198.71"
"Argentina","2020-05-12","220.43"
"Argentina","2020-05-13","238.71"
"Argentina","2020-05-14","251.86"
"Argentina","2020-05-15","266.86"
"Argentina","2020-05-16","289.86"
"Argentina","2020-05-17","290.57"
"Argentina","2020-05-18","299.00"
"Argentina","2020-05-19","320.86"
"Argentina","2020-05-20","343.43"
"Argentina","2020-05-21","399.57"
"Argentina","2020-05-22","452.86"
"Argentina","2020-05-23","506.86"
"Argentina","2020-05-24","572.57"
"Argentina","2020-05-25","608.14"
"Argentina","2020-05-26","631.29"
"Argentina","2020-05-27","664.29"
"Argentina","2020-05-28","681.57"
"Argentina","2020-05-29","681.43"
"Argentina","2020-05-30","694.43"
"Argentina","2020-05-31","682.14"
"Argentina","2020-06-01","683.86"
"Argentina","2020-06-02","727.29"
"Argentina","2020-06-03","762.14"
"Argentina","2020-06-04","785.00"
"Argentina","2020-06-05","802.57"
"Argentina","2020-06-06","829.43"
"Argentina","2020-06-07","849.00"
"Argentina","2020-06-08","886.43"
"Argentina","2020-06-09","920.29"
"Argentina","2020-06-10","959.86"
"Argentina","2020-06-11","1025.14"
"Argentina","2020-06-12","1103.86"
"Argentina","2020-06-13","1182.14"
"Argentina","2020-06-14","1254.71"
"Argentina","2020-06-15","1309.29"
"Argentina","2020-06-16","1342.57"
"Argentina","2020-06-17","1366.43"
"Argentina","2020-06-18","1448.14"
"Argentina","2020-06-19","1543.71"
"Argentina","2020-06-20","1558.43"
"Argentina","2020-06-21","1601.14"
"Argentina","2020-06-22","1735.14"
"Argentina","2020-06-23","1863.43"
"Argentina","2020-06-24","2042.71"
"Argentina","2020-06-25","2135.29"
"Argentina","2020-06-26","2253.29"
"Argentina","2020-06-27","2362.86"
"Argentina","2020-06-28","2449.71"
"Argentina","2020-06-29","2476.71"
"Argentina","2020-06-30","2475.29"
"Argentina","2020-07-01","2478.00"
"Argentina","2020-07-02","2497.71"
"Argentina","2020-07-03","2491.86"
"Argentina","2020-07-04","2518.86"
"Argentina","2020-07-05","2554.57"
"Argentina","2020-07-06","2597.00"
"Argentina","2020-07-07","2699.43"
"Argentina","2020-07-08","2833.29"
"Argentina","2020-07-09","2964.57"
"Argentina","2020-07-10","3039.14"
"Argentina","2020-07-11","3161.86"
"Argentina","2020-07-12","3193.00"
"Argentina","2020-07-13","3259.71"
"Argentina","2020-07-14","3354.86"
"Argentina","2020-07-15","3445.14"
"Argentina","2020-07-16","3441.43"
"Argentina","2020-07-17","3605.86"
"Argentina","2020-07-18","3573.57"
"Argentina","2020-07-19","3798.43"
"Argentina","2020-07-20","3929.86"
"Argentina","2020-07-21","4172.57"
"Argentina","2020-07-22","4393.43"
"Argentina","2020-07-23","4749.14"
"Argentina","2020-07-24","4888.43"
"Argentina","2020-07-25","5115.71"
"Argentina","2020-07-26","5110.14"
"Argentina","2020-07-27","5234.57"
"Bolivia","2020-01-22","0.00"
"Bolivia","2020-01-23","0.00"
"Bolivia","2020-01-24","0.00"
"Bolivia","2020-01-25","0.00"
"Bolivia","2020-01-26","0.00"
"Bolivia","2020-01-27","0.00"
"Bolivia","2020-01-28","0.00"
"Bolivia","2020-01-29","0.00"
"Bolivia","2020-01-30","0.00"
"Bolivia","2020-01-31","0.00"
"Bolivia","2020-02-01","0.00"
"Bolivia","2020-02-02","0.00"
"Bolivia","2020-02-03","0.00"
"Bolivia","2020-02-04","0.00"
"Bolivia","2020-02-05","0.00"
"Bolivia","2020-02-06","0.00"
"Bolivia","2020-02-07","0.00"
"Bolivia","2020-02-08","0.00"
"Bolivia","2020-02-09","0.00"
"Bolivia","2020-02-10","0.00"
"Bolivia","2020-02-11","0.00"
"Bolivia","2020-02-12","0.00"
"Bolivia","2020-02-13","0.00"
"Bolivia","2020-02-14","0.00"
"Bolivia","2020-02-15","0.00"
"Bolivia","2020-02-16","0.00"
"Bolivia","2020-02-17","0.00"
"Bolivia","2020-02-18","0.00"
"Bolivia","2020-02-19","0.00"
"Bolivia","2020-02-20","0.00"
"Bolivia","2020-02-21","0.00"
"Bolivia","2020-02-22","0.00"
"Bolivia","2020-02-23","0.00"
"Bolivia","2020-02-24","0.00"
"Bolivia","2020-02-25","0.00"
"Bolivia","2020-02-26","0.00"
"Bolivia","2020-02-27","0.00"
"Bolivia","2020-02-28","0.00"
"Bolivia","2020-02-29","0.00"
"Bolivia","2020-03-01","0.00"
"Bolivia","2020-03-02","0.00"
"Bolivia","2020-03-03","0.00"
"Bolivia","2020-03-04","0.00"
"Bolivia","2020-03-05","0.00"
"Bolivia","2020-03-06","0.00"
"Bolivia","2020-03-07","0.00"
"Bolivia","2020-03-08","0.00"
"Bolivia","2020-03-09","0.00"
"Bolivia","2020-03-10","0.00"
"Bolivia","2020-03-11","0.29"
"Bolivia","2020-03-12","0.29"
"Bolivia","2020-03-13","0.43"
"Bolivia","2020-03-14","1.43"
"Bolivia","2020-03-15","1.43"
"Bolivia","2020-03-16","1.57"
"Bolivia","2020-03-17","1.57"
