"country_region","semana","mortes_semana","crescimento_pct_wow"
"Afghanistan","2020-01-20","0",NULL
"Afghanistan","2020-01-27","0",NULL
"Afghanistan","2020-02-03","0",NULL
"Afghanistan","2020-02-10","0",NULL
"Afghanistan","2020-02-17","0",NULL
"Afghanistan","2020-02-24","0",NULL
"Afghanistan","2020-03-02","0",NULL
"Afghanistan","2020-03-09","0",NULL
"Afghanistan","2020-03-16","1",NULL
"Afghanistan","2020-03-23","3","200.00"
"Afghanistan","2020-03-30","3","0.00"
"Afghanistan","2020-04-06","11","266.67"
"Afghanistan","2020-04-13","15","36.36"
"Afghanistan","2020-04-20","17","13.33"
"Afghanistan","2020-04-27","35","105.88"
"Afghanistan","2020-05-04","35","0.00"
"Afghanistan","2020-05-11","49","40.00"
"Afghanistan","2020-05-18","49","0.00"
"Afghanistan","2020-05-25","39","-20.41"
"Afghanistan","2020-06-01","100","156.41"
"Afghanistan","2020-06-08","114","14.00"
"Afghanistan","2020-06-15","110","-3.51"
"Afghanistan","2020-06-22","140","27.27"
"Afghanistan","2020-06-29","143","2.14"
"Afghanistan","2020-07-06","146","2.10"
"Afghanistan","2020-07-13","171","17.12"
"Afghanistan","2020-07-20","78","-54.39"
"Afghanistan","2020-07-27","10","-87.18"
"Albania","2020-01-20","0",NULL
"Albania","2020-01-27","0",NULL
"Albania","2020-02-03","0",NULL
"Albania","2020-02-10","0",NULL
"Albania","2020-02-17","0",NULL
"Albania","2020-02-24","0",NULL
"Albania","2020-03-02","0",NULL
"Albania","2020-03-09","1",NULL
"Albania","2020-03-16","1","0.00"
"Albania","2020-03-23","8","700.00"
"Albania","2020-03-30","10","25.00"
"Albania","2020-04-06","3","-70.00"
"Albania","2020-04-13","3","0.00"
"Albania","2020-04-20","2","-33.33"
"Albania","2020-04-27","3","50.00"
"Albania","2020-05-04","0","-100.00"
"Albania","2020-05-11","0",NULL
"Albania","2020-05-18","1",NULL
"Albania","2020-05-25","1","0.00"
"Albania","2020-06-01","1","0.00"
"Albania","2020-06-08","2","100.00"
"Albania","2020-06-15","8","300.00"
"Albania","2020-06-22","11","37.50"
"Albania","2020-06-29","21","90.91"
"Albania","2020-07-06","17","-19.05"
"Albania","2020-07-13","19","11.76"
"Albania","2020-07-20","26","36.84"
"Albania","2020-07-27","6","-76.92"
"Algeria","2020-01-20","0",NULL
"Algeria","2020-01-27","0",NULL
"Algeria","2020-02-03","0",NULL
"Algeria","2020-02-10","0",NULL
"Algeria","2020-02-17","0",NULL
"Algeria","2020-02-24","0",NULL
"Algeria","2020-03-02","0",NULL
"Algeria","2020-03-09","4",NULL
"Algeria","2020-03-16","13","225.00"
"Algeria","2020-03-23","14","7.69"
"Algeria","2020-03-30","121","764.29"
"Algeria","2020-04-06","141","16.53"
"Algeria","2020-04-13","82","-41.84"
"Algeria","2020-04-20","50","-39.02"
"Algeria","2020-04-27","38","-24.00"
"Algeria","2020-05-04","39","2.63"
"Algeria","2020-05-11","46","17.95"
"Algeria","2020-05-18","52","13.04"
"Algeria","2020-05-25","53","1.92"
"Algeria","2020-06-01","54","1.89"
"Algeria","2020-06-08","60","11.11"
"Algeria","2020-06-15","78","30.00"
"Algeria","2020-06-22","52","-33.33"
"Algeria","2020-06-29","55","5.77"
"Algeria","2020-07-06","59","7.27"
"Algeria","2020-07-13","67","13.56"
