"date","confirmed","new_cases","media_movel_7d"
"2020-01-22","0","0","0.00"
"2020-01-23","0","0","0.00"
"2020-01-24","0","0","0.00"
"2020-01-25","0","0","0.00"
"2020-01-26","0","0","0.00"
"2020-01-27","0","0","0.00"
"2020-01-28","0","0","0.00"
"2020-01-29","0","0","0.00"
"2020-01-30","0","0","0.00"
"2020-01-31","0","0","0.00"
"2020-02-01","0","0","0.00"
"2020-02-02","0","0","0.00"
"2020-02-03","0","0","0.00"
"2020-02-04","0","0","0.00"
"2020-02-05","0","0","0.00"
"2020-02-06","0","0","0.00"
"2020-02-07","0","0","0.00"
"2020-02-08","0","0","0.00"
"2020-02-09","0","0","0.00"
"2020-02-10","0","0","0.00"
"2020-02-11","0","0","0.00"
"2020-02-12","0","0","0.00"
"2020-02-13","0","0","0.00"
"2020-02-14","0","0","0.00"
"2020-02-15","0","0","0.00"
"2020-02-16","0","0","0.00"
"2020-02-17","0","0","0.00"
"2020-02-18","0","0","0.00"
"2020-02-19","0","0","0.00"
"2020-02-20","0","0","0.00"
"2020-02-21","0","0","0.00"
"2020-02-22","0","0","0.00"
"2020-02-23","0","0","0.00"
"2020-02-24","0","0","0.00"
"2020-02-25","0","0","0.00"
"2020-02-26","1","1","0.14"
"2020-02-27","1","0","0.14"
"2020-02-28","1","0","0.14"
"2020-02-29","2","1","0.29"
"2020-03-01","2","0","0.29"
"2020-03-02","2","0","0.29"
"2020-03-03","2","0","0.29"
"2020-03-04","4","2","0.43"
"2020-03-05","4","0","0.43"
"2020-03-06","13","9","1.71"
"2020-03-07","13","0","1.57"
"2020-03-08","20","7","2.57"
"2020-03-09","25","5","3.29"
"2020-03-10","31","6","4.14"
"2020-03-11","38","7","4.86"
"2020-03-12","52","14","6.86"
"2020-03-13","151","99","19.71"
"2020-03-14","151","0","19.71"
"2020-03-15","162","11","20.29"
"2020-03-16","200","38","25.00"
"2020-03-17","321","121","41.43"
"2020-03-18","372","51","47.71"
"2020-03-19","621","249","81.29"
"2020-03-20","793","172","91.71"
"2020-03-21","1021","228","124.29"
"2020-03-22","1546","525","197.71"
